,number,value,datetime_start,datetime_complete,duration,params_beta,params_f_cross_layer,params_hi5_cin_fn_k,params_hi5_dur_cin_par1,params_hi5_rel_beta,params_hpv16_cin_fn_k,params_hpv16_dur_cin_par1,params_hpv18_cin_fn_k,params_hpv18_dur_cin_par1,params_m_cross_layer,params_ohr_cin_fn_k,params_ohr_dur_cin_par1,params_ohr_rel_beta,state
1390,1390,32.83065406,00:43.1,06:38.1,0 days 00:05:55.084194,0.219775261,0.298483586,0.022630545,2.261022589,0.956096814,0.372199848,5.398420069,0.475128639,2.638310153,0.573834658,0.148389117,4.079403252,0.287845102,COMPLETE
413,413,32.83540803,59:18.2,05:51.0,0 days 00:06:32.806325,0.137604814,0.125479644,0.035676333,10.50179847,0.546667916,0.252058056,7.795842935,0.437457826,1.566744959,0.9530264,0.044783901,1.847448816,0.559180467,COMPLETE
654,654,32.83913988,17:50.0,24:22.2,0 days 00:06:32.190684,0.314947961,0.270584004,0.183105247,1.068895199,0.489579534,0.269745806,6.824083714,0.492688615,3.532082177,0.743677934,0.203038909,2.634102412,0.520425438,COMPLETE
1652,1652,32.85909225,14:06.8,20:06.1,0 days 00:05:59.300697,0.270254223,0.156258099,0.020775877,6.948445563,0.858084103,0.24439352,6.175200167,0.447197608,4.018303691,0.53327901,0.039639433,4.445615807,0.24041617,COMPLETE
1482,1482,32.88219554,51:07.6,57:02.6,0 days 00:05:55.034356,0.270427274,0.273413999,0.0589708,1.353768123,0.954134367,0.324181897,4.49959735,0.471960192,3.10217864,0.598236329,0.121687514,3.84272425,0.397284453,COMPLETE
1592,1592,32.88563165,01:21.0,07:19.6,0 days 00:05:58.608456,0.284946377,0.128012287,0.059423407,6.390503692,0.903315065,0.283160037,6.073745231,0.524467175,3.480527049,0.479811221,0.059688202,3.815463626,0.328297191,COMPLETE
816,816,32.90091973,10:24.9,15:58.5,0 days 00:05:33.575597,0.330963832,0.271587577,0.066765458,3.172991327,0.120948588,0.294601224,5.714186968,0.428479531,3.160455321,0.936902425,0.179931567,2.657190134,0.706927986,COMPLETE
2031,2031,32.9086637,31:13.2,37:07.4,0 days 00:05:54.178538,0.280484552,0.153124143,0.391748967,1.800941823,0.868589416,0.289042816,4.740566407,0.27370418,4.080854278,0.290473088,0.055937382,4.821185786,0.271312458,COMPLETE
1516,1516,32.91699171,30:25.3,36:20.7,0 days 00:05:55.322239,0.197153919,0.262575236,0.101590403,1.536006675,0.358450961,0.312914675,5.596328079,0.509253748,3.230753437,0.562745127,0.111800395,4.318958722,0.338047031,COMPLETE
469,469,32.9189804,13:22.1,19:58.7,0 days 00:06:36.647758,0.375153721,0.519538701,0.079164279,2.68075905,0.93272191,0.181209668,7.447037312,0.667501989,2.063753315,0.976396804,0.090159844,5.478491112,0.669914329,COMPLETE
443,443,32.92125315,38:33.7,45:12.5,0 days 00:06:38.784676,0.257050698,0.445723698,0.107417319,2.234650137,0.958533535,0.264231478,5.898747151,0.609805166,1.758095847,0.960558983,0.000600515,4.485808976,0.700037556,COMPLETE
1461,1461,32.92835712,24:51.3,30:47.9,0 days 00:05:56.577325,0.251040411,0.21749856,0.075979962,1.357317213,0.999362793,0.330489487,4.951474204,0.51722712,2.881181056,0.480005234,0.135763083,3.816609362,0.378800266,COMPLETE
1624,1624,32.92879651,38:23.1,44:23.8,0 days 00:06:00.693031,0.272745894,0.107268735,0.032483305,7.541386453,0.826977222,0.240613942,6.516694558,0.456594355,4.058199198,0.534350713,0.053626519,4.89752657,0.260861045,COMPLETE
1166,1166,32.93546254,34:36.5,40:33.4,0 days 00:05:56.897363,0.25899183,0.353866785,0.047953979,1.76828995,0.976568909,0.25085713,5.637687679,0.447894371,3.067485368,0.468595111,0.179286952,3.76757018,0.520329271,COMPLETE
1235,1235,32.94767982,57:06.1,03:02.6,0 days 00:05:56.542680,0.222430192,0.201834955,0.047555607,1.222101135,0.979499092,0.320342507,5.121189325,0.443773238,3.139649172,0.546083765,0.17150847,3.577005313,0.387504733,COMPLETE
1906,1906,32.98836583,22:57.1,40:55.4,0 days 00:17:58.330115,0.278359705,0.11902033,0.064502228,1.592120872,0.928659171,0.351890921,6.208876494,0.277762664,2.773867865,0.450458475,0.039471739,4.191846579,0.275229915,COMPLETE
1987,1987,33.00330647,39:27.9,45:27.5,0 days 00:05:59.605025,0.260617843,0.000831473,0.05150695,1.708334765,0.907124172,0.3181947,5.256417474,0.457745568,3.974774557,0.447308951,0.020729229,4.174168488,0.357581958,COMPLETE
966,966,33.02091706,52:20.8,02:29.1,0 days 00:10:08.307093,0.30150489,0.378660003,0.061793956,1.790356518,0.999485289,0.226995042,7.448525989,0.503340178,3.453971635,0.41913749,0.125949851,3.085860265,0.461456637,COMPLETE
360,360,33.02358201,48:35.1,55:12.3,0 days 00:06:37.225461,0.133975145,0.348849188,0.000286373,2.840485638,0.957358422,0.281396747,5.414816047,0.720818012,3.227549502,0.968474915,0.086039687,2.273591741,0.472377807,COMPLETE
1287,1287,33.02892924,59:51.9,05:43.6,0 days 00:05:51.775715,0.179853653,0.270976993,0.038814761,1.199434988,0.983851783,0.330407568,5.602935024,0.382090679,2.102503152,0.53444595,0.111201256,4.352092697,0.329480039,COMPLETE
1988,1988,33.02971871,39:39.0,45:37.6,0 days 00:05:58.533191,0.284506654,0.238481935,0.050549173,7.43559378,0.902223878,0.323065038,5.401949764,0.383283535,2.359308405,0.44525708,0.021639143,4.210982023,0.190495199,COMPLETE
1632,1632,33.03347251,49:13.2,55:06.4,0 days 00:05:53.192679,0.265856058,0.146009935,0.033076823,5.816133638,0.869509296,0.264057842,6.23093186,0.432454464,4.047897761,0.508175925,0.019569611,4.343007361,0.291460671,COMPLETE
2007,2007,33.03586258,03:23.1,09:18.8,0 days 00:05:55.720070,0.268479114,0.081621503,0.065808357,1.765605111,0.999702137,0.3013936,4.484522259,0.415571079,4.253609221,0.575738767,0.072828118,4.048982913,0.325866178,COMPLETE
1625,1625,33.03617912,39:55.7,45:59.0,0 days 00:06:03.290534,0.289777988,0.076152472,0.036783501,5.737877531,0.868445812,0.249350829,6.469164615,0.459055648,4.502920981,0.533643071,0.051014256,4.790736697,0.257460729,COMPLETE
1441,1441,33.04027695,01:04.2,07:03.4,0 days 00:05:59.195556,0.204706018,0.150117138,1.99E-05,1.199684729,0.94302024,0.30854908,4.708583397,0.409322573,3.463746215,0.517187178,0.181128406,3.284795366,0.293601226,COMPLETE
978,978,33.04739065,13:52.2,21:00.0,0 days 00:07:07.867442,0.282168012,0.411224686,0.104786393,1.939802806,0.80678164,0.224851405,7.618614684,0.97061608,1.137957947,0.423414487,0.136184146,3.121700711,0.449610803,COMPLETE
1398,1398,33.05337771,10:49.2,16:43.8,0 days 00:05:54.688370,0.229975834,0.286815709,0.063121348,2.325150378,0.89728983,0.366474738,4.726575041,0.496722526,2.593868016,0.565660663,0.168717604,4.316181431,0.291750448,COMPLETE
1278,1278,33.05515044,48:58.8,54:54.5,0 days 00:05:55.618422,0.1982124,0.26623172,0.06962603,1.367170372,0.966283501,0.293161278,5.780894082,0.383800059,2.475749228,0.646017162,0.104605529,4.335063074,0.289809848,COMPLETE
1087,1087,33.06415484,04:22.0,10:56.7,0 days 00:06:34.717895,0.31467037,0.18419958,0.097015507,1.955262169,0.940456152,0.234291589,6.735905348,0.266421755,3.088558518,0.413465537,0.043298439,3.165025119,0.483749979,COMPLETE
640,640,33.06604802,58:44.9,05:19.7,0 days 00:06:34.838760,0.331755873,0.361489835,0.110058202,1.142759567,0.01980479,0.204273577,7.155069295,0.452627185,2.746525945,0.857558168,0.150246615,2.75049923,0.482113997,COMPLETE
1970,1970,33.06862539,17:14.2,23:35.5,0 days 00:06:21.319780,0.465568603,0.107886019,0.000224276,1.441196043,0.857333528,0.255557169,5.044071997,0.465231218,2.944732436,0.561198785,0.093510542,4.354284186,0.481928081,COMPLETE
1633,1633,33.07632413,49:36.8,55:40.3,0 days 00:06:03.498986,0.272265302,0.132284658,0.027196796,7.140591286,0.847562572,0.267767472,6.121141476,0.432379846,4.232338439,0.5513579,0.015857459,4.155020571,0.291833005,COMPLETE
1202,1202,33.08432602,19:31.3,25:25.2,0 days 00:05:53.876574,0.245762747,0.240515124,0.019488078,1.223675656,0.984516674,0.331703483,5.259871256,0.429500532,3.161254454,0.509078691,0.145787775,3.969607079,0.408638,COMPLETE
1352,1352,33.09770489,16:38.3,22:36.2,0 days 00:05:57.847677,0.111232572,0.252152838,0.000449896,3.357384683,0.933337339,0.315974861,5.412699127,0.321471003,5.318708385,0.131690692,0.179987479,3.95485761,0.271319732,COMPLETE
1606,1606,33.09859469,17:40.7,23:38.0,0 days 00:05:57.377762,0.285982805,0.111516021,0.01785129,6.417387558,0.88462976,0.268019299,6.399640513,0.434706756,4.189602776,0.516182549,0.059381918,4.324088149,0.308067246,COMPLETE
1485,1485,33.10556272,53:07.9,59:04.8,0 days 00:05:56.840739,0.270553698,0.259492245,0.000647454,1.246547895,0.915605509,0.298951709,5.889581916,0.484052016,2.998234466,0.455923008,0.128571373,4.324062439,0.410995118,COMPLETE
1943,1943,33.1148538,24:03.0,42:20.7,0 days 00:18:17.739585,0.302285465,0.207491271,0.468420564,1.000894494,0.990006358,0.281951052,5.924462089,0.373099554,3.549585818,0.437012261,0.019498916,3.346987055,0.218172827,COMPLETE
1630,1630,33.12184206,45:59.1,51:54.4,0 days 00:05:55.350499,0.291609264,0.095391377,4.66E-05,8.535316116,0.881077948,0.261054746,6.235646459,0.436936458,4.088780408,0.512155989,0.017214798,4.376936,0.286699211,COMPLETE
1668,1668,33.12696837,32:46.9,38:40.5,0 days 00:05:53.649243,0.288431951,0.122455331,0.037284956,7.209610589,0.852591693,0.248772944,6.441104167,0.379553446,4.127046231,0.447262253,0.034981065,4.23394636,0.208466817,COMPLETE
1179,1179,33.1285709,51:11.5,57:02.0,0 days 00:05:50.526795,0.240184085,0.319107328,0.01652998,1.668386134,0.953590675,0.268308015,5.451029104,0.426354933,3.069160117,0.497704515,0.186757621,3.574044133,0.52362185,COMPLETE
1859,1859,33.12981129,23:22.1,29:17.9,0 days 00:05:55.740070,0.211156887,0.074490022,0.649368463,2.056345285,0.979463575,0.261584657,5.51624517,0.433801245,3.223358533,0.581864121,0.109268313,4.66994285,0.343900973,COMPLETE
637,637,33.1309203,56:13.5,02:48.4,0 days 00:06:34.904138,0.314725387,0.321889259,0.524458731,1.950983291,0.881910801,0.16448672,10.86978441,0.450305918,3.538656209,0.807907424,0.071491486,3.861446504,0.452862713,COMPLETE
594,594,33.13647761,58:20.5,04:56.9,0 days 00:06:36.432154,0.362159445,0.257088377,0.394197336,1.57452622,0.954610851,0.170321224,11.08720246,0.433211757,2.891315297,0.452203175,0.104229757,1.600284057,0.528820993,COMPLETE
1258,1258,33.14629261,25:28.9,31:20.7,0 days 00:05:51.857179,0.214366126,0.234897942,0.086263692,1.233372364,0.978822786,0.349323006,4.935660415,0.461182641,2.069756161,0.588197502,0.122562856,4.258270079,0.333635247,COMPLETE
1818,1818,33.15590499,35:35.5,41:04.0,0 days 00:05:28.483274,0.20204608,0.08770309,1.90E-05,10.48022118,0.888194769,0.316123194,5.063279163,0.466863527,3.620059596,0.569900924,0.053976416,1.336324159,0.335234231,COMPLETE
1656,1656,33.15625295,18:48.3,24:46.3,0 days 00:05:58.021404,0.29183164,0.157517032,0.037760556,7.57927593,0.869303987,0.240184447,6.011907959,0.44219927,4.727461038,0.538503882,0.04271361,4.2959485,0.25686478,COMPLETE
1435,1435,33.15637333,54:03.3,59:54.6,0 days 00:05:51.341796,0.188500207,0.175936715,0.052409617,1.463319443,0.965155587,0.261165095,5.708410316,0.451917337,2.612837394,0.609256321,0.108606619,4.132876609,0.401564709,COMPLETE
1646,1646,33.16219179,06:44.2,12:57.7,0 days 00:06:13.525524,0.279963936,0.156426513,0.002835936,9.708166207,0.868362759,0.232177087,6.29268453,0.480954788,4.192093224,0.55556253,0.068631889,4.626311351,0.223083034,COMPLETE
1623,1623,33.16433742,37:34.5,43:35.4,0 days 00:06:00.866214,0.274529972,0.106519505,0.033014103,6.646159666,0.858859357,0.242021063,6.492406739,0.456752925,4.466827735,0.530275281,0.052927457,4.670428752,0.232553742,COMPLETE
1750,1750,33.1757505,09:46.8,15:45.9,0 days 00:05:59.121538,0.471142494,0.032350049,0.058310824,7.752295956,0.876198032,0.264332962,6.543045733,0.25256471,4.220064939,0.440566591,0.965383982,1.106919406,0.274734608,COMPLETE
1654,1654,33.18651679,15:24.6,21:23.0,0 days 00:05:58.407210,0.29261769,0.130570028,0.028323272,7.699605707,0.890826995,0.236802369,6.214258498,0.443660436,3.771734969,0.527166251,0.043485328,4.424563467,0.26337415,COMPLETE
1183,1183,33.18671451,56:53.9,02:48.7,0 days 00:05:54.732272,0.278483232,0.387716739,0.058578099,1.458409951,0.939575842,0.269945335,5.800300482,0.435838239,3.408422948,0.48176031,0.018560467,3.672018473,0.460163004,COMPLETE
648,648,33.19240778,10:30.2,17:04.3,0 days 00:06:34.110777,0.309129594,0.253005618,0.171349551,1.04197135,0.487429774,0.20864768,7.179297181,0.496402189,3.487675192,0.788457295,0.222356678,2.752706274,0.51961052,COMPLETE
1582,1582,33.20740327,49:18.4,55:19.7,0 days 00:06:01.327443,0.423505183,0.297826125,0.025471753,1.011165409,0.955982009,0.252785055,7.965175924,0.469945827,2.718893133,0.554642105,0.159288672,3.529265573,0.693332709,COMPLETE
844,844,33.22609321,45:20.2,51:36.0,0 days 00:06:15.851317,0.317185891,0.304727923,0.019724436,2.741103537,0.099441057,0.24337757,6.314241464,0.373212014,3.48717878,0.982850602,0.230039338,1.834302437,0.703451715,COMPLETE
1408,1408,33.22614684,22:38.8,28:29.1,0 days 00:05:50.231983,0.205594775,0.251947494,0.085984608,1.770572915,0.956220393,0.349621358,5.227856758,0.443489098,2.834135257,0.557835137,0.134284076,3.947497605,0.3119275,COMPLETE
79,79,33.23025701,37:18.6,44:18.8,0 days 00:07:00.188187,0.478124364,0.364650634,0.004383168,11.95528093,0.899310033,0.15400417,11.90834411,0.460746463,2.901070326,0.995257534,0.04961081,4.096888123,0.608693342,COMPLETE
1958,1958,33.23391114,58:53.9,06:39.6,0 days 00:07:45.739004,0.22685703,0.245868099,0.052015178,7.905460985,0.955510647,0.354963436,4.588313567,0.511823394,3.939321297,0.531572891,0.11454011,2.938025607,0.424499064,COMPLETE
1963,1963,33.23437699,06:39.8,14:44.9,0 days 00:08:05.044086,0.275911078,0.266424816,0.032533846,1.162972078,0.79792604,0.295455023,6.359288052,0.40892753,3.254190944,0.527760623,0.032484558,3.637229299,0.331226361,COMPLETE
1616,1616,33.23973345,29:37.6,35:38.4,0 days 00:06:00.805779,0.28288773,0.127622989,0.000136458,6.412255829,0.865402086,0.240811605,6.51790326,0.414120222,3.8405274,0.497407298,0.031778385,4.592694284,0.277305976,COMPLETE
963,963,33.24115775,50:31.2,00:49.4,0 days 00:10:18.184554,0.304343713,0.354344866,0.114103517,1.732185981,0.818742341,0.261291217,5.942867129,0.938979151,3.680338836,0.98054547,0.048323635,3.09180499,0.48485472,COMPLETE
1934,1934,33.24656487,10:39.7,17:26.7,0 days 00:06:47.017548,0.180718763,0.188992745,0.430259993,1.552614837,0.949838161,0.177352788,9.800392068,0.414347135,3.025736832,0.512538272,0.079399233,4.11421038,0.272408698,COMPLETE
1189,1189,33.24764037,02:55.8,08:51.0,0 days 00:05:55.259630,0.25620176,0.295412725,0.00147046,1.234124266,0.939221693,0.310259851,5.532325305,0.39449789,3.328999794,0.526005176,0.173676139,3.710178228,0.437997087,COMPLETE
1722,1722,33.24939868,37:03.4,42:57.7,0 days 00:05:54.273836,0.299635251,0.137866122,0.050492512,8.861971344,0.915564416,0.207866852,8.254972079,0.407697091,3.883234164,0.153807167,0.058488884,1.008560488,0.250021192,COMPLETE
1337,1337,33.25020064,58:58.2,04:50.5,0 days 00:05:52.353400,0.208717449,0.205772955,0.038245456,1.204141831,0.925029193,0.296879925,5.832521644,0.353619633,5.763169648,0.072562475,0.190355261,4.415004926,0.244232546,COMPLETE
1675,1675,33.25041755,40:54.3,46:45.9,0 days 00:05:51.620459,0.268114404,0.162352673,0.018860343,7.935185531,0.884368174,0.270038115,5.878769548,0.44309295,3.964264076,0.549621853,0.061038818,4.259495937,0.264540923,COMPLETE
2014,2014,33.25890954,09:50.1,15:46.3,0 days 00:05:56.210784,0.30671138,0.324436023,0.01914278,1.220664394,0.973745746,0.277927786,5.889351019,0.333862179,3.877670493,0.518115408,0.180255746,3.166715258,0.352554184,COMPLETE
1338,1338,33.26020798,59:39.6,05:30.9,0 days 00:05:51.337609,0.189200919,0.20030741,0.037362604,1.729003343,0.926962977,0.293412249,5.815579137,0.341223712,3.30151341,0.086236082,0.157652943,3.915419059,0.319176118,COMPLETE
