,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,ohr_cin_fn_k,ohr_dur_cin_par1,ohr_rel_beta,beta,f_cross_layer,m_cross_layer
1234,1234,31.566807507635584,1.0962956285470917,1.9117506050164172,0.5919002349623256,1.6786338261535394,0.7082016955371009,1.24963461910164,0.5046077219371762,0.21078774503256287,1.9139723675131326,0.12896187566793688,0.4921276574077804,0.8358117407569593,0.39034684693992916
1579,1579,31.58103363523793,0.6591172652430052,1.9466002169744518,0.5819548087326871,3.237309961477879,0.3970775151394539,2.493716181655095,0.5729824751034217,0.2156799928857317,1.641101831937879,0.18706921331744042,0.46472465409068225,0.5673213626714757,0.4215876192617287
1865,1865,31.631073622853116,0.6812406081363365,2.42832866167621,0.34350019474369037,2.6533653855916284,0.3122857228260884,1.5058451261822916,0.7293393797068667,0.1788533399814295,2.7599771473202526,0.027885728871802462,0.42622216673858315,0.9104052950007289,0.03118513683161378
1787,1787,31.640478081248972,0.6019115004361749,1.904020764701366,0.5027350310803279,2.9783574360905045,0.6554103223724828,1.886435766221344,0.6552502548998119,0.1956215312275767,4.410946346404311,0.18636360568505828,0.44827614759892126,0.9471035335326619,0.06021423039045737
1115,1115,31.671828755319137,1.4649434470401337,1.571151363042801,0.4932731683788887,0.976376654604641,0.6175815882364392,1.143836700979689,0.03582636517355664,0.25884401752941133,1.570573690647764,0.6117521488639005,0.39281621017223517,0.9977567907297765,0.06423041101393762
1295,1295,31.712282251601255,0.7101039636535036,2.5163779992777315,0.5767847654645147,3.085958481233612,0.31032367043423253,1.2430141004881377,0.5793197118354796,0.2619338055629475,1.7270373461107351,0.22379642131817423,0.47824880239081996,0.8173660024632643,0.031539724097346344
730,730,31.73633222717544,0.9958425181459801,1.9674180420655247,0.6700378596602696,1.6000474935466564,0.39736511093304927,1.6018569667937892,0.580083080698448,0.29899810348971506,1.5436236974362305,0.20835190816667992,0.38987000661100984,0.7777344450652663,0.327553135577754
1358,1358,31.737271575631702,0.9792491432724646,1.6797465314598767,0.5216041865637964,2.8437181493775188,0.5573287054671079,2.1096315585771426,0.514202717018182,0.19498178744819797,1.8246689548923802,0.15767450668360128,0.42936020550983184,0.4938603744320429,0.43267753343341875
845,845,31.753329995701925,1.388876584071185,1.533761527018045,0.5731032306907732,1.5003325330507258,0.6372353799326282,0.8450324299093157,0.45797144107949056,0.22281023971775332,1.4087330802621192,0.7157043588043716,0.35792861041528745,0.8724723525522363,0.35880223568703384
748,748,31.80934546665174,1.0394656620708094,1.7136747778485473,0.6513052329993709,1.6333050069750494,0.4984155740029267,1.283824175303423,0.5108288386626312,0.31940814523076044,1.0247220268045507,0.8347764405469682,0.4186365922293704,0.7193903817393333,0.4041393546957966
813,813,31.817442268086253,1.0576348683645491,1.5578139021716884,0.6035373283246727,1.5034909022916503,0.6329143982438621,0.9801453501507806,0.4986373750887906,0.29039531945117075,1.4877896713915482,0.8537146790743507,0.4180237450452696,0.8097751365658254,0.3647297633010642
1732,1732,31.823109545148235,1.2869934050899903,1.430736479341531,0.5297012810559533,3.167141393703582,0.3846758829373407,2.0992851128234014,0.6538535923816315,0.17056471759477781,2.033859636508795,0.17382103431868387,0.43371082791031723,0.8375758534999366,0.09669163809684247
331,331,31.85537710272464,0.5845450346229063,2.52935750857366,0.1434965699694177,2.622633543324344,0.3286987512992999,2.5567983973832846,0.6032073872822505,0.00045573254470173937,3.4004442077709798,0.49163506781428956,0.4893314878967255,0.9391755938144949,0.07597985267713346
1611,1611,31.86986411927825,0.6767835798442958,2.9536595154087504,0.0042181580342004026,3.3480688258379945,0.3115598332441722,3.022526332741873,0.5842869174194112,0.2591584584679808,2.256715031725077,0.19199863991083588,0.45770663620833874,0.694996729793025,0.030514551776582185
890,890,31.878948117451266,1.4739868991205616,1.5525663476437446,0.5732900042953316,1.4163516114726262,0.6642410161515503,1.0881567836738082,0.4982810779518048,0.242536705388505,1.3641419610371295,0.6781839951724202,0.4124650133458965,0.8306071984374606,0.31824869442873216
432,432,31.920222291793472,0.6567585323681923,1.8687976792763163,0.5703685080087595,2.5988513951450933,0.311437520768025,3.1205696608502267,0.543048431185367,0.090776126043413,3.2660892069244984,0.2088480100278452,0.4828038398434225,0.8814499872762676,0.09685799429779843
208,208,31.959648782426783,0.6577245788334192,2.1283861560164077,0.02624678519899915,2.86738497845588,0.3247837001004527,3.78518969616734,0.511634179580982,0.1769900026151764,2.87039484743151,0.19750819016442847,0.473402192757885,0.9929374560059071,0.055465206750743956
1742,1742,31.965854397510736,1.3562884898636516,1.1467945787402278,0.4947417241117611,3.266870021660286,0.36779307262824945,2.1629662503610603,0.695949307913993,0.11018619251685999,2.2343776191907394,0.1532180898744773,0.44634338081245584,0.8911853463721875,0.09811134306185838
505,505,31.979781603521168,0.6776366788174015,2.5351602928289476,0.6202277501783725,3.0603589032437126,0.2801330860763919,1.4215959261455968,0.6179936538644865,0.19024201491777246,2.5521715510344434,0.1633955748996436,0.48339893359030994,0.9515269193453325,0.05607879677490051
1413,1413,31.98118066398471,0.7448914979435252,1.8061597500808628,0.5166314160758062,3.458925182980428,0.336924296902247,1.2139397286274451,0.5176143298345599,0.3515593122367934,1.543035084938902,0.2152509192457758,0.4569626060365169,0.3408488255558998,0.028575254287133013
506,506,31.98390214006538,0.6804859702811585,1.9459186341789632,0.6724362801642079,3.101392229811791,0.4033464260623167,2.035524580650394,0.6135923800651037,0.19608313368818403,2.51878462546142,0.15801707288861275,0.4831992494503555,0.8782749130200906,0.05558722062266099
1473,1473,31.99564543267557,1.0145980030484438,1.779979199163027,0.569240135973042,2.6312243102228896,0.34005615574601006,1.4782913686836145,0.6033946529041075,0.23734682399684692,1.3983266419571256,0.177511287009341,0.4573020327707574,0.4602767435799009,0.04262250545599233
1047,1047,32.01090819538611,0.6608338681344426,2.59599719016117,0.5189368643216263,2.4907756285050504,0.3551675252164514,1.1950568922782834,0.5428278092105482,0.18813566017310016,1.8294617278227738,0.6254097619868934,0.434075519116287,0.9384445902219248,0.28744531126259676
1793,1793,32.012625945810996,0.5921313599523442,2.0204925017821505,0.45207416417548857,3.1510412739577065,0.648579048693192,2.0751010355059147,0.6612969913422003,0.12461726595613186,5.013305532254943,0.1463815835328876,0.4406156576551224,0.9409674749411157,0.0637585536359091
294,294,32.01347059621221,0.7180426342361392,1.8956805295311243,0.44265923886973063,2.804602328935272,0.33415192238879965,1.5635899170267722,0.6426278195781836,0.1708725251915493,2.2505703749411534,0.5258363031281182,0.47058418073896574,0.5000845108469226,0.03775110768421673
587,587,32.08226129158171,0.6470823976031725,1.9310657388337886,0.5749582057036957,3.5595112673616236,0.2957533450485267,2.9221514590040063,0.6974797543634765,0.16517890308273522,2.744626792747162,0.30363048276604554,0.46729570095115935,0.054671248391473165,0.06907562251761389
