,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,ohr_cin_fn_k,ohr_dur_cin_par1,ohr_rel_beta,beta,f_cross_layer,m_cross_layer
658,658,44.39317998212178,0.39711037353448986,8.218844705252268,0.8430525320770643,7.789054912383335,0.7880553050839061,6.677430708864135,0.4909495417577033,0.19529757832835737,6.655105477274017,0.3482734324760284,0.05336666885556741,0.8005727094970513,0.15773957895320137
2213,2213,44.473928381924836,0.48504340244131167,7.7608918205255275,0.5664811209262485,4.852393909073525,0.1662967537499715,3.783350822484371,0.09990162054987033,0.05955816043918804,4.438786614651776,0.21422949755470383,0.4625718872085018,0.19364097139531616,0.9974610581716372
3087,3087,44.473928381924836,0.4842071268991497,8.072998761835521,0.11442994457055533,7.262822092340712,0.12489925107030028,10.355002835301892,0.5066197233644143,0.07489398679528114,5.380695903346024,0.20202082619342196,0.12254877478498755,0.06993269893505072,0.7457985989873537
1098,1098,44.50445521599672,0.5756361408947489,8.284857741294573,0.6562577231016233,7.081309576721993,0.7907788335361945,3.204555038025742,0.8802309678938814,0.09952851704060901,7.0337502185848955,0.3614819390138354,0.39335592303398825,0.028563750082805765,0.9500128209491125
2206,2206,44.50445521599672,0.4835274758128451,8.042045148537145,0.567441901343574,6.439131326632242,0.141534540427233,3.28794379568896,0.12857517165443785,0.06685269602129357,4.223001953507074,0.22617076740421255,0.4672346804716767,0.22535275424548828,0.9993319224436676
3296,3296,44.50445521599672,0.28157618056349765,7.90052852411422,0.5145139088684361,7.249461982205625,0.5433630065397242,1.8125199674206791,0.3837842467652362,0.1944039608897017,4.846647290197907,0.33136905661406946,0.10213175369144352,0.48446654824030566,0.9760966658971253
4734,4734,44.50445521599672,0.7470329670936191,8.517750078086664,0.5761489546695415,7.097844527934847,0.19669192170798724,8.474129632072282,0.4357110033317637,0.09744879540962674,4.368862517069044,0.8556116808933828,0.12204566651002001,0.5251660878364813,0.9530021617718308
134,134,44.50445521599672,0.45635993985690765,8.537008247905414,0.5716901882431744,6.577750176939802,0.47191297267601984,2.860326698141921,0.059220336970791126,0.11584381905073557,11.57669018219908,0.2896338282765347,0.13575082168021368,0.03919490841709095,0.686645176832882
3429,3429,44.547783625647135,0.34458762658901715,9.7066060787757,0.5077942755807051,7.49367148185567,0.4874835424078569,2.2863499504253975,0.7759721388447025,0.08540280653126041,5.164704357855181,0.14565456943582006,0.4765148082002453,0.5553994518666983,0.9830845728386847
4120,4120,44.547783625647135,0.2852256237171946,7.589284986284009,0.23319726910479877,7.074100822599311,0.48548226539098266,8.511293905530223,0.37562800661310225,0.05029721949444503,4.607717050786795,0.274260404488422,0.1581422649729201,0.905121398022399,0.9628338738181057
3323,3323,44.57831045971902,0.3203481681935597,8.219447791961272,0.5095625417868966,7.567892617951632,0.5376968459348097,1.719146841072444,0.39946464187535796,0.09791298395315767,4.591720138416509,0.2993301514842839,0.10510743205653812,0.48236002156768937,0.9990826377022516
1959,1959,44.57831045971902,0.46269048852141825,8.184164383280795,0.32307834468995716,7.0174180904738535,0.8197315300199334,2.3334985341202503,0.4263034564119938,0.5919148955334789,4.5256276583567105,0.2755909313930882,0.3874832080092061,0.08793770497792792,0.9830750902791776
3823,3823,44.57831045971902,0.2817064507001599,8.954085381516753,0.5264472245840304,2.6699891700152967,0.5153298059697733,1.236595620747148,0.45343754493059807,0.020787407481714253,4.6958386520725055,0.31787072940367733,0.4209225554636411,0.2669892063116909,0.42361728688395417
931,931,44.57831045971902,0.4023217067905167,9.318778381785902,0.13058618515087764,6.7165166262457205,0.1477023230738083,8.81153477205373,0.9766047306223402,0.5586392058618225,5.495090418425889,0.33701315310045615,0.13191118467439444,0.4917798831405413,0.9750028143708025
944,944,44.57831045971902,0.3564149631357089,10.803045026222755,0.1275760237617646,6.969182692951503,0.1397996668997849,8.165207179439923,0.7210477243030012,0.5653024888743976,4.985551036195244,0.3094073180609461,0.1322535929617105,0.5283335721674797,0.9886001789130497
90,90,44.57831045971902,0.6258023492502023,3.5726219349466652,0.575734238838754,10.00581984362262,0.8352074946528463,6.451158014404075,0.3984030814953027,0.038853888574793265,8.49272365126725,0.5646322490302617,0.41655043643246686,0.21362997690946325,0.9648233710375631
4967,4967,44.57831045971902,0.26323556020196426,7.641897291766779,0.1421364382636266,7.490091813547021,0.5482120198172713,2.3524194402273473,0.3724806859411523,0.03886470479803237,4.667956415980378,0.24329997701022768,0.46817231590923647,0.3322194964438673,0.1410537350116426
3348,3348,44.57831045971902,0.3448737142038692,7.988449359212169,0.5433902393987039,7.561884109405626,0.5167787405879405,1.9601233274105603,0.4034955612551707,0.08405383906396718,4.8100349612751145,0.2368141468437308,0.44549973412290444,0.49984400723143413,0.9994320893429184
430,430,44.855021439531924,0.4528388993969465,7.017718524223893,0.17666723571200388,6.845844419295538,0.07713321335197065,2.3628958301312295,0.38889873678521875,0.11849966660215316,8.908844529610128,0.38718091388787557,0.10261731980508815,0.3017776865959805,0.595357987125146
2059,2059,44.855021439531924,0.4280374600033932,8.381816077727189,0.2732659039890481,7.440972642893667,0.4765823400519576,2.05007768190101,0.05608097456368502,0.12111260391766816,6.809575577887948,0.2822599716323573,0.2562356790960568,0.40050759327377206,0.9597612638142523
4,4,44.855021439531924,0.468384436045411,11.726945353349517,0.5311096270924732,2.5838339276807183,0.45240144397049553,6.411353530421584,0.46715459444326113,0.15587158285708302,11.210315918775438,0.24897030026492661,0.4878920603568712,0.39469457833334565,0.8942368435997189
4141,4141,44.85966378588408,0.26336915212129197,7.5350284937619865,0.1720287247244377,6.724589308615289,0.7724665548664739,8.040500519078927,0.32799645075679157,0.045432967950565145,4.763978763060746,0.2812032405676723,0.1688621677060882,0.4472025482735822,0.9667271098102421
