year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
1992,12,8437733.625,56251.56641,0,0,6468929.375,0,221912384,9619018,0,56026548,84377.35156,0,9619018,84377.35156,0,4471999.5,18591140,281257.8125,0,0,0,0.009505704,0.002002002,0,843773.475,562515.625,-562515.65,0,0,0,0,0,0,0,0,0,0,2531320.313,562515.625,0,0,0,0,56757826.39,21431845.63,281257.8125,281257.8125,0,0,0,56026548,0.010040162,0.015060244,0.171686787,0.039670665,0.002994013,0
1993,13,7593960.688,0,0,0,6187671.625,0,223318656,8859622,0,55548408,84377.35156,0,8859622,84377.35156,0,3431345.25,18113002,281257.8125,0,0,0,0.008501261,0,0,843773.475,562515.625,-281257.825,0,0,0,0,0,0,0,0,0,0,900025.002,0,0,0,0,0,57657851.39,21431845.63,281257.8125,281257.8125,0,0,0,55548408,0.010126584,0.015189877,0.159493716,0.030653271,0.003015076,0
1994,14,6750187.25,56251.56641,0,0,4781382.625,0,226412496,9703394,0,56392184,140628.9219,0,9703394,140628.9219,0,3656351.5,18675518,281257.8125,0,0,0,0.007453417,0.002,0,562515.65,0,281257.825,0,0,0,0,0,0,0,0,0,0,2334439.85,562515.625,0,0,0,0,59992291.24,21994361.25,281257.8125,281257.8125,0,0,0,56392184,0,0.009975064,0.172069839,0.032338313,0.004975126,0
1995,15,7875218.625,28125.7832,0,0,5625156,0,222756144,11390942,0,55829668,168754.7031,0,11390942,168754.7031,0,4753257,18394260,281257.8125,0,0,0,0.008838385,0.001011123,0,562515.65,1125031.25,0,0,0,0,0,0,0,0,0,0,0,8240853.783,281257.8125,0,0,0,0,68233145.02,22275619.07,281257.8125,281257.8125,0,0,0,55829668,0.020151136,0.010075569,0.204030266,0.042462318,0.006030152,0
1996,16,7312702.688,28125.7832,56251.56641,0,6468929.375,0,220506080,11025306,56251.56641,55548408,112503.1328,56251.56641,11081558,168754.7031,0,4725131,18675518,309383.5938,0,0,0,0.008290818,0.001029866,205.5498806,562515.65,843773.4375,0,255.5329869,0,0,0,0,0,0,0,0,0,3768854.723,843773.4375,28125.7832,28125.7832,0,0,72001999.74,23119392.5,309383.5957,309383.5957,0,0,0,55548408,0.015189876,0.010126585,0.198481044,0.043076925,0.004102565,0
1997,17,7031445,0,28125.7832,0,6750187.25,0,221068608,10462790,84377.35156,55576536,84377.35156,84377.35156,10547168,168754.7031,0,4471999,18675518,309383.5938,0,0,0,0.007951655,0,102.774947,562515.65,281257.8125,0,86.95638916,0,0,0,0,0,0,0,0,0,2250062.5,0,0,0,0,0,74252062.24,23119392.5,309383.5957,309383.5957,0,0,0,55576536,0.005060729,0.010121459,0.188259124,0.040727464,0.003073771,0
1998,18,8184602,28125.7832,0,0,7593960.688,0,223318656,10153408,84377.35156,55857792,56251.56641,84377.35156,10237784,140628.9219,0,4471999,18422386,365635.1563,0,0,0,0.00916247,0.001026694,0,562515.65,281257.8125,0,0,0,0,0,0,0,0,0,0,0,928150.7832,28125.7832,56251.56641,56251.56641,0,0,75180213.03,23147518.29,365635.1621,365635.1621,0,0,0,55857792,0.005035248,0.010070496,0.181772455,0.040727464,0.002049181,0
1999,19,8775243.25,0,0,0,7593960.25,0,223599920,11587822,84377.35156,56167176,28125.7832,84377.35156,11672200,112503.1328,0,5090767,18478636,393760.9375,0,0,0,0.009811322,0,0,562515.65,562515.625,562515.65,0,0,0,0,0,0,0,0,0,0,2671949.221,309383.5938,28125.7832,28125.7832,0,0,77852162.25,23456901.88,393760.9453,393760.9453,0,0,0,56167176,0.010015024,0.010015025,0.2063095,0.046315263,0.001023542,0
2000,20,8437733.75,309383.5957,0,0,7031445,0,223318656,10434666,84377.35156,55885920,337509.375,84377.35156,10519042,421886.7188,0,4190741.25,18197378,675018.75,0,0,0,0.009445845,0.011398966,0,562515.65,843773.4375,0,0,0,0,0,0,0,0,0,0,0,7368954.471,0,281257.8125,281257.8125,0,0,85221116.72,23456901.88,675018.7578,675018.7578,0,0,0,55885920,0.01509814,0.010065427,0.186713684,0.038126924,0.012282499,0
2001,21,7087696.438,56251.56641,0,0,6468929.625,0,224443696,11559696,84377.35156,56448432,365635.1563,84377.35156,11644074,450012.5,0,4725131,18478636,703144.5,0,0,0,0.007894738,0.002074689,0,562515.65,562515.625,562515.65,0,0,0,0,0,0,0,0,0,0,4078238.285,562515.625,28125.7832,28125.7832,0,0,89299355,24019417.51,703144.541,703144.541,0,0,0,56448432,0.009965124,0.009965124,0.204783297,0.042988745,0.013306041,0
2002,22,11587821.5,28125.7832,0,28125.7832,10125280.75,0,224724960,11278438,56251.56641,56448432,365635.1563,56251.56641,11334690,421886.7188,0,4162615.5,18197378,731270.3125,0,0,0,0.012891115,0.001048218,0,843773.475,562515.625,0,0,83.33326711,0,0,0,0,0,0,0,0,3459471.066,281257.8125,28125.7832,28125.7832,0,0,92758826.07,24300675.32,731270.3242,731270.3242,0,0,103.4126405,56448432,0.009965124,0.014947687,0.199800731,0.038262673,0.013443642,0
2003,23,11587821,309383.5957,0,28125.7832,9281507.25,0,222474896,13050362,28125.7832,55632788,393760.9375,28125.7832,13078488,421886.7188,0,4500125,17381732,731270.3125,0,0,0,0.013021493,0.012035012,0,843773.475,843773.4375,-281257.825,0,139.5347312,0,0,0,0,0,0,0,0,1743798.439,562515.625,281257.8125,0,0,0,94502624.51,24863190.94,1012528.137,731270.3242,0,0,107.7586406,55632788,0.015166837,0.015166838,0.234580406,0.043103453,0.015086209,0
2004,24,12684726.25,0,0,0,11531569.5,0,223318656,12769104,0,55885920,112503.1328,0,12769104,112503.1328,0,4500125,17353606,1012528.125,0,0,0,0.014200254,0,0,843773.475,309383.5938,-281257.825,0,0,0,0,0,0,0,0,0,0,2671949.283,0,281257.8125,281257.8125,0,0,97174573.79,24863190.94,1293785.949,1012528.137,0,0,0,55885920,0.005535985,0.015098141,0.228485171,0.042689439,0.004268944,0
2005,25,9956526.125,56251.56641,56251.56641,0,9844022.75,0,220506080,11869080,56251.56641,55604664,84377.35156,56251.56641,11925332,140628.9219,0,4190741.25,17353606,1040653.938,0,0,0,0.011288267,0.002118644,211.640249,843773.475,1125031.25,0,188.007943,0,0,0,0,0,0,0,0,0,5709533.566,281257.8125,28125.7832,28125.7832,0,0,102884107.4,25144448.76,1321911.732,1040653.92,0,0,0,55604664,0.020232678,0.015174509,0.213454756,0.039334744,0.003167899,0
2006,26,7340828.75,56251.56641,28125.7832,0,7031445.25,0,220506080,9759646,84377.35156,55042144,84377.35156,84377.35156,9844024,168754.7031,0,3768854.75,17072348,1068779.75,0,0,0,0.008322706,0.002164503,108.2251292,843773.475,562515.625,-843773.475,119.9999283,0,0,0,0,0,0,0,0,0,2081307.816,562515.625,28125.7832,28125.7832,0,0,104965415.2,25706964.38,1350037.516,1068779.703,0,0,0,55042144,0.010219726,0.01532959,0.177312243,0.036138085,0.003236247,0
2007,27,5653281.938,56251.56641,28125.7832,0,6187671.688,28125.7832,221068608,8634616,112503.1328,55042144,112503.1328,84377.35156,8718992,196880.4844,28125.7832,3740729,17353606,1096905.5,28125.7832,0,0,0.006393131,0.002166848,108.2251292,562515.65,562515.625,0,159.9999044,0,0,0,0,0,0,0,0,0,4050112.504,281257.8125,28125.7832,28125.7832,28125.7832,0,109015527.7,25988222.19,1378163.299,1096905.486,28125.7832,28125.7832,0,55042144,0.010219726,0.010219726,0.156872814,0.035868398,0.004314995,0
2008,28,9028375.25,0,0,0,7312702.75,0,221631120,8944000,112503.1328,55576536,112503.1328,84377.35156,9028376,196880.4844,28125.7832,3768854.75,17606738,1096905.5,56251.56641,281257.8125,0,0.010184011,0,0,562515.65,871899.1875,843773.475,0,0,281257.8125,281257.8125,843773.4375,843773.4375,0,0,0,0,2362565.6,281257.8125,28125.7832,28125.7832,28125.7832,0,111378093.3,26269480.01,1406289.082,1125031.27,56251.56641,56251.56641,0,55576536,0.015688261,0.010121459,0.160931225,0.035412267,0.004228331,0
2009,29,7931470.25,0,0,28125.7832,6750187.25,0,220787344,9478388,84377.35156,55548408,84377.35156,56251.56641,9534640,140628.9219,28125.7832,3768854.75,17016096,815647.6875,56251.56641,562515.625,0,0.008980893,0,0,562515.65,562515.625,0,0,22.72724446,281257.8125,562515.625,843773.4375,1687546.875,0,0,0,0,2334439.816,281257.8125,0,0,0,0,113712533.1,26550737.82,1406289.082,1125031.27,56251.56641,56251.56641,108.1081308,55548408,0.010126584,0.010126585,0.170632937,0.036216222,0.003243244,0
2010,30,8775243.375,56251.56641,28125.7832,0,5906413.625,0,220506080,10040904,112503.1328,55857792,84377.35156,84377.35156,10153408,168754.7031,28125.7832,4078238.25,17550486,815647.6875,56251.56641,843773.4375,0,0.009948981,0.002166848,108.3423838,843773.475,309383.5938,0,96.77411356,0,281257.8125,843773.4375,281257.8125,1968804.688,0,0,0,0,5118891.938,562515.625,0,0,0,0,118831425,27113253.44,1406289.082,1125031.27,56251.56641,56251.56641,0,55857792,0.005538772,0.015105743,0.179758341,0.039146873,0.003239742,0
2011,31,6778313,0,0,0,6187671.5,0,225568736,8662742,112503.1328,55942168,56251.56641,84377.35156,8775244,140628.9219,28125.7832,3571974.25,17353606,871899.3125,56251.56641,1125031.25,0,0.00751247,0,0,843773.475,562515.625,0,0,0,281257.8125,1125031.25,843773.4375,2812578.125,0,0,0,0,2081307.816,281257.8125,84377.34961,56251.56641,28125.7832,0,120912732.8,27394511.26,1490666.432,1181282.836,84377.34961,84377.34961,0,55942168,0.010055306,0.01508296,0.154851739,0.034548426,0.002176279,0
2012,32,7031445.438,56251.56641,0,56251.56641,6187671.875,0,225849984,8662742,56251.56641,56139052,112503.1328,0,8718992,112503.1328,56251.56641,3796980.5,17269228,815647.6875,56251.56641,1406289,0,0.007783314,0.002192983,0,843773.475,871899.1875,281257.825,0,313.5481554,281257.8125,1406289.063,843773.4375,3656351.563,0,0,0,0,3993860.844,843773.4375,28125.7832,28125.7832,28125.7832,0,124906593.7,28238284.69,1518792.215,1209408.619,112503.1328,112503.1328,218.3406572,56139052,0.015531064,0.015030063,0.154308662,0.036844984,0.004366813,0
