year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence
1986.0,6,7312702.75,0.0,0.0,0.0,6187671.75,0.0,212349632.0,8240854.0,0.0,54929644.0,309383.59375,0.0,8240854.0,309383.59375,0.0,3712602.75,15553556.0,281257.8125,0.0,0.0,0.0,0.008609271748113979,0.0,0.0,843773.4750000001,1125031.25,281257.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1715672.658203125,281257.8125,0.0,0.0,0.0,0.0,33554058.283203125,16875469.6875,281257.8125,281257.8125,0.0,0.0,0.0,54929644.0,0.020481313332378414,0.015360985681975293,0.1500256218664006,0.03499469914497096,0.011664900893230409
1987.0,7,4781382.8125,281257.8125,0.0,0.0,4218867.25,0.0,217974784.0,6272049.0,0.0,55773416.0,309383.59375,0.0,6272049.0,309383.59375,0.0,2587571.75,16397330.0,281257.8125,0.0,0.0,0.0,0.005483871488203883,0.010615712667542122,0.0,843773.4750000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996930.470703125,843773.4375,0.0,0.0,0.0,0.0,35550988.75390625,17719243.125,281257.8125,281257.8125,0.0,0.0,0.0,55773416.0,0.0,0.015128595942554425,0.11245588758630097,0.024134314710422742,0.011542498897360552
1988.0,8,5906413.6875,309383.595703125,0.0,0.0,3375093.6875,0.0,217131008.0,7678339.0,0.0,56054672.0,618767.1875,0.0,7678339.0,618767.1875,0.0,2840703.75,16678588.0,281257.8125,0.0,0.0,0.0,0.006800518431135363,0.011689693367883707,0.0,843773.4750000001,281257.8125,-281257.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1434414.84375,281257.8125,0.0,0.0,0.0,0.0,36985403.59765625,18000500.9375,281257.8125,281257.8125,0.0,0.0,0.0,56054672.0,0.005017562363044422,0.015052687758123,0.13697946533341593,0.026220147173777016,0.022845278002050128
1989.0,9,6750187.125,281257.8125,0.0,0.0,5906413.75,0.0,219099808.0,7397081.0,0.0,56335932.0,618767.1875,0.0,7397081.0,618767.1875,0.0,2840703.75,17241102.0,281257.8125,0.0,0.0,0.0,0.007702182839201758,0.010405828406204463,0.0,562515.65,562515.625,281257.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968804.6875,843773.4375,0.0,0.0,0.0,0.0,38954208.28515625,18844274.375,281257.8125,281257.8125,0.0,0.0,0.0,56335932.0,0.00998502385653263,0.009985024300299142,0.13130307314344244,0.02568667479394263,0.02238047035841034
1990.0,10,6468929.4375,281257.8125,0.0,0.0,4500124.9375,0.0,220224832.0,8268980.0,0.0,56645316.0,900025.0,0.0,8268980.0,900025.0,0.0,2868829.5,17269228.0,281257.8125,0.0,0.0,0.0,0.00734355133654955,0.010615712429640541,0.0,843773.4750000001,843773.4375,281257.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9028375.220703125,0.0,0.0,0.0,0.0,0.0,47982583.505859375,18844274.375,281257.8125,281257.8125,0.0,0.0,0.0,56645316.0,0.014895731846566096,0.014895732508580235,0.14597817761313223,0.026180699248185075,0.03285421296852639
1991.0,11,5343898.3125,281257.8125,0.0,0.0,4500124.8125,0.0,222474896.0,7706465.0,0.0,56926576.0,618767.1875,0.0,7706465.0,618767.1875,0.0,2868829.5,17831744.0,281257.8125,0.0,0.0,0.0,0.006005057658842551,0.010504202833062137,0.0,843773.4750000001,281257.8125,-281257.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840703.908203125,562515.625,0.0,0.0,0.0,0.0,50823287.4140625,19406790.0,281257.8125,281257.8125,0.0,0.0,0.0,56926576.0,0.004940711918103067,0.014822136413052493,0.1353755230246063,0.026180699248185075,0.022587271415861896
1992.0,12,5625155.875,28125.783203125,0.0,0.0,5343898.125,0.0,221349856.0,7706465.0,0.0,56645316.0,646893.0,0.0,7706465.0,646893.0,0.0,2559446.0,18113002.0,281257.8125,0.0,0.0,0.0,0.006353240946992077,0.0010405829056625853,0.0,562515.65,562515.625,-281257.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2559446.095703125,281257.8125,0.0,0.0,0.0,0.0,53382733.509765625,19688047.8125,281257.8125,281257.8125,0.0,0.0,0.0,56645316.0,0.00993048789771073,0.00993048833905349,0.13604770074899045,0.023119920149635605,0.023373987191537896
1993.0,13,6750187.0,281257.8125,0.0,0.0,6468929.25,0.0,222474896.0,7706465.0,0.0,56926576.0,646893.0,0.0,7706465.0,646893.0,0.0,2840703.75,18675518.0,281257.8125,0.0,0.0,0.0,0.007585335605685596,0.010193681546346329,0.0,843773.4750000001,281257.8125,-281257.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1715672.658203125,562515.625,0.0,0.0,0.0,0.0,55098406.16796875,20250563.4375,281257.8125,281257.8125,0.0,0.0,0.0,56926576.0,0.004940711918103067,0.014822136413052493,0.1353755230246063,0.02514940490355645,0.022908371189746684
1994.0,14,5934539.5,843773.4375,0.0,0.0,4781382.625,0.0,222474896.0,7706465.0,0.0,56926576.0,900025.0625,0.0,7706465.0,900025.0625,0.0,2306314.0,18956776.0,309383.59375,0.0,0.0,0.0,0.00666877432768864,0.03054990286792417,0.0,562515.65,562515.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1715672.65625,281257.8125,28125.783203125,28125.783203125,0.0,0.0,56814078.82421875,20531821.25,309383.595703125,309383.595703125,0.0,0.0,0.0,56926576.0,0.009881423836206134,0.009881424275368327,0.1353755230246063,0.02021696494522457,0.03155819222948142
1995.0,15,3937609.25,281257.8125,0.0,0.0,3375093.75,0.0,221912384.0,6272049.5,0.0,56364056.0,618767.25,0.0,6272049.5,618767.25,0.0,1996930.5,17831744.0,590641.375,0.0,0.0,0.0,0.004435995390414985,0.010395011475542903,0.0,843773.4750000001,562515.625,-843773.4750000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7031444.9375,0.0,281257.8125,281257.8125,0.0,0.0,63845523.76171875,20531821.25,590641.408203125,590641.408203125,0.0,0.0,0.0,56364056.0,0.009980041624399777,0.014970063101917295,0.11127746910193972,0.018038619960871183,0.022357728057102375
